"","ftTrumpPre","ftTrumpPost","age"
"496",15,100,75
"497",95,85,52
"498",0,0,64
"499",75,70,41
"500",85,85,51
"501",100,100,45
"502",0,0,68
"503",90,90,73
"504",60,40,65
"505",90,-6,52
"506",85,70,64
"507",100,100,71
"508",40,40,38
"509",0,0,24
"510",100,100,66
"511",-9,-6,50
"512",0,0,49
"513",15,0,40
"514",100,100,73
"515",-9,50,65
"516",90,100,34
"517",5,5,53
"518",0,0,39
"519",0,0,71
"520",10,15,33
"521",0,0,34
"522",70,86,59
"523",85,85,72
"524",0,15,52
"525",100,100,53
"526",15,20,35
"527",90,80,68
"528",85,100,54
"529",0,0,74
"530",100,100,67
"531",60,60,46
"532",100,100,57
"533",0,0,34
"534",50,55,56
"535",0,0,77
"536",85,70,43
"537",30,0,66
"538",50,50,-9
"539",95,90,60
"540",100,100,39
"541",30,60,39
"542",85,70,-9
"543",15,0,53
"544",0,0,71
"545",70,70,76
"546",85,60,80
"547",70,50,76
"548",100,100,-9
"549",85,95,49
"550",50,15,37
"551",100,100,80
"552",0,0,72
"553",100,100,51
"554",0,0,70
"555",0,0,45
"556",0,0,31
"557",0,0,72
"558",95,100,71
"559",100,100,67
"560",40,30,36
"561",100,100,58
"562",85,90,64
"563",0,0,34
"564",0,0,36
"565",70,50,44
"566",70,60,54
"567",0,0,28
"568",60,85,-9
"569",100,100,77
"570",90,100,70
"571",70,15,28
"572",0,0,30
"573",0,0,37
"574",85,85,45
"575",0,0,68
"576",85,-9,80
"577",85,100,41
"578",0,0,32
"579",0,0,24
"580",-9,0,-9
"581",0,0,42
"582",52,30,26
"583",0,0,50
"584",0,0,46
"585",0,0,52
"586",100,85,35
"587",0,15,76
"588",0,0,63
"589",0,0,39
"590",100,100,28
"591",40,100,66
"592",0,0,45
"593",0,0,69
"594",85,85,59
"595",-9,0,79
"596",70,60,80
"597",0,0,38
"598",15,0,74
"599",10,0,54
"600",0,0,45
"601",0,0,42
"602",100,100,75
"603",60,85,33
"604",0,0,40
"605",100,100,56
"606",85,85,44
"607",40,0,80
"608",0,0,25
"609",100,100,26
"610",0,0,75
"611",0,0,68
"612",75,70,27
"613",0,0,46
"614",85,95,71
"615",0,0,49
"616",15,10,57
"617",0,0,80
"618",100,90,66
"619",100,50,43
"620",100,100,55
"621",50,15,64
"622",0,0,80
"623",0,5,57
"624",0,0,32
"625",100,85,53
"626",95,100,68
"627",25,30,67
"628",100,-6,26
"629",0,0,50
"630",0,50,33
"631",60,40,58
"632",0,0,36
"633",30,0,46
"634",15,30,30
"635",15,0,78
"636",0,-9,70
"637",60,60,53
"638",0,0,59
"639",100,100,39
"640",-9,0,46
"641",70,60,69
"642",60,60,80
"643",0,0,31
"644",95,90,49
"645",0,0,41
"646",15,9,58
"647",0,0,32
"648",0,0,22
"649",0,0,59
"650",0,0,29
"651",85,90,69
"652",55,85,39
"653",0,5,39
"654",100,100,64
"655",-9,0,53
"656",-9,85,65
"657",0,0,36
"658",0,0,76
"659",0,0,59
"660",100,100,51
"661",70,85,49
"662",15,5,29
"663",0,0,29
"664",60,55,47
"665",0,0,64
"666",0,0,66
"667",0,0,35
"668",90,100,80
"669",85,85,59
"670",85,85,74
"671",0,0,73
"672",0,-6,29
"673",70,100,80
"674",85,85,-9
"675",0,0,-9
"676",50,60,54
"677",75,70,-9
"678",15,-9,43
"679",85,-6,80
"680",15,15,55
"681",0,-6,51
"682",0,0,46
"683",85,90,38
"684",0,0,62
"685",90,-6,60
"686",0,-7,43
"687",60,0,72
"688",0,-6,80
"689",0,0,23
"690",85,70,68
"691",70,70,57
"692",70,85,-9
"693",85,0,52
"694",100,100,69
"695",0,50,-9
"696",60,60,39
"697",85,70,72
"698",60,70,27
"699",0,0,38
"700",0,0,49
"701",60,60,-9
"702",40,15,68
"703",15,15,40
"704",60,40,49
"705",100,100,26
"706",10,0,34
"707",100,100,51
"708",100,100,23
"709",0,40,80
"710",15,-6,25
"711",-9,0,80
"712",86,80,43
"713",90,100,59
"714",15,5,49
"715",100,100,32
"716",0,15,69
"717",75,100,80
"718",15,40,45
"719",0,0,43
"720",70,8,69
"721",100,100,80
"722",100,100,55
"723",0,15,75
"724",45,15,60
"725",0,0,75
"726",85,85,69
"727",85,-9,60
"728",0,0,59
"729",0,0,26
"730",15,15,64
"731",-9,85,64
"732",100,100,62
"733",0,0,46
"734",85,85,72
"735",90,85,53
"736",70,85,33
"737",15,15,61
"738",0,40,24
"739",70,60,58
"740",0,0,47
"741",30,30,63
"742",60,60,64
"743",40,15,55
"744",0,0,41
"745",30,15,68
"746",60,70,80
"747",0,0,25
"748",70,60,66
"749",60,80,63
"750",0,0,34
"751",100,-6,55
"752",85,85,73
"753",70,70,80
"754",0,0,45
"755",85,65,50
"756",70,85,54
"757",85,-7,70
"758",0,0,28
"759",60,30,43
"760",85,100,76
"761",0,0,39
"762",85,85,50
"763",0,0,74
"764",70,70,27
"765",60,85,76
"766",100,85,33
"767",95,90,56
"768",85,75,71
"769",85,85,69
"770",90,100,48
"771",0,0,57
"772",9,0,63
"773",0,0,80
"774",0,0,38
"775",-9,0,80
"776",100,100,71
"777",80,100,58
"778",100,100,66
"779",100,100,45
"780",0,0,31
"781",85,85,49
"782",15,15,80
"783",85,-6,-9
"784",0,0,61
"785",85,70,26
"786",0,0,45
"787",0,0,32
"788",0,0,51
"789",90,95,35
"790",60,60,56
"791",1,5,46
"792",70,70,35
"793",40,30,42
"794",85,85,54
"795",30,0,-9
"796",85,70,23
"797",0,15,33
"798",0,0,73
"799",90,90,54
"800",0,0,36
"801",50,-6,25
"802",0,0,80
"803",0,0,69
"804",89,70,61
"805",0,0,55
"806",0,0,79
"807",60,60,80
"808",30,30,-9
"809",100,100,60
"810",40,30,43
"811",50,0,41
"812",85,100,36
"813",0,0,73
"814",0,0,75
"815",60,0,62
"816",70,60,73
"817",75,75,33
"818",100,100,80
"819",0,0,26
"820",100,85,52
"821",90,95,41
"822",0,0,67
"823",60,60,65
"824",0,15,69
"825",0,-6,59
"826",0,-7,59
"827",100,100,80
"828",0,0,70
"829",0,0,58
"830",99,100,29
"831",85,85,-9
"832",0,1,41
"833",50,40,35
"834",0,-7,36
"835",50,50,34
"836",85,85,53
"837",0,0,52
"838",0,0,24
"839",-9,30,41
"840",0,0,76
"841",15,0,74
"842",50,0,79
"843",40,0,48
"844",100,100,62
"845",15,0,54
"846",15,0,71
"847",15,0,40
"848",85,85,36
"849",0,0,48
"850",85,85,34
"851",0,0,58
"852",1,0,49
"853",0,0,67
"854",87,85,57
"855",60,70,29
"856",0,0,37
"857",100,-6,79
"858",0,-7,33
"859",100,100,65
"860",100,70,55
"861",0,0,68
"862",0,0,39
"863",100,100,80
"864",1,15,50
"865",70,80,57
"866",100,100,76
"867",70,30,71
"868",0,0,58
"869",85,-6,47
"870",100,100,43
"871",100,60,22
"872",70,40,69
"873",100,100,62
"874",-9,85,73
"875",99,100,32
"876",0,15,30
"877",0,0,47
"878",100,100,35
"879",85,90,66
"880",0,0,42
"881",0,30,25
"882",0,0,31
"883",15,70,36
"884",0,0,63
"885",40,60,54
"886",15,0,64
"887",0,0,62
"888",0,0,59
"889",85,40,74
"890",0,0,48
"891",0,0,66
"892",100,100,73
"893",70,100,30
"894",85,100,63
"895",0,0,69
"896",30,30,61
"897",100,100,43
"898",100,100,68
"899",60,65,58
"900",100,-6,58
"901",100,100,65
"902",0,0,78
"903",100,100,54
"904",0,0,72
"905",100,85,69
"906",90,80,52
"907",0,0,59
"908",0,0,30
"909",60,-6,41
