"","V202290x","V201507x","V202073"
"454",1,38,2
"455",4,73,1
"456",4,31,-1
"457",4,69,2
"458",4,-9,1
"459",4,45,1
"460",4,41,1
"461",2,66,2
"462",3,41,-1
"463",4,62,1
"464",1,31,-1
"465",2,80,2
"466",4,46,2
"467",2,70,2
"468",4,21,-1
"469",1,77,-1
"470",4,66,-1
"471",4,33,5
"472",4,46,1
"473",4,36,-1
"474",-2,68,-1
"475",4,71,-1
"476",2,37,2
"477",4,30,2
"478",4,79,1
"479",6,78,1
"480",3,47,1
"481",4,72,1
"482",4,71,1
"483",1,36,2
"484",4,35,1
"485",2,56,-1
"486",4,64,3
"487",4,41,-1
"488",4,50,1
"489",-6,77,-6
"490",1,-9,2
"491",6,31,2
"492",2,61,1
"493",4,62,1
"494",4,57,2
"495",2,63,1
"496",4,75,1
"497",3,52,-1
"498",4,64,1
"499",2,41,2
"500",2,51,2
"501",1,45,2
"502",4,68,1
"503",1,73,2
"504",2,65,2
"505",-6,52,-6
"506",4,64,2
"507",1,71,-1
"508",4,38,2
"509",4,24,1
"510",4,66,-1
"511",-6,50,-6
"512",7,49,1
"513",4,40,1
"514",2,73,2
"515",4,65,-1
"516",2,34,-1
"517",4,53,1
"518",4,39,1
"519",4,71,1
"520",1,33,-1
"521",4,34,1
"522",2,59,2
"523",5,72,2
"524",4,52,1
"525",3,53,-1
"526",4,35,1
"527",4,68,2
"528",1,54,2
"529",4,74,1
"530",1,67,2
"531",2,46,2
"532",1,57,2
"533",6,34,-1
"534",1,56,1
"535",4,77,1
"536",4,43,2
"537",3,66,1
"538",4,-9,-1
"539",4,60,-9
"540",2,39,2
"541",4,39,2
"542",2,-9,2
"543",4,53,-1
"544",4,71,1
"545",1,76,2
"546",4,80,-1
"547",4,76,-1
"548",1,-9,2
"549",4,49,2
"550",4,37,-1
"551",4,80,2
"552",2,72,1
"553",4,51,2
"554",3,70,1
"555",2,45,1
"556",4,31,1
"557",4,72,1
"558",4,71,2
"559",1,67,2
"560",2,36,3
"561",4,58,2
"562",1,64,2
"563",4,34,-1
"564",4,36,1
"565",4,44,1
"566",4,54,2
"567",4,28,1
"568",1,-9,2
"569",1,77,2
"570",-2,70,2
"571",4,28,-1
"572",4,30,1
"573",4,37,1
"574",4,45,2
"575",4,68,1
"576",4,80,-1
"577",4,41,2
"578",4,32,1
"579",1,24,-1
"580",4,-9,-1
"581",4,42,1
"582",3,26,-1
"583",4,50,1
"584",4,46,1
"585",4,52,1
"586",4,35,2
"587",4,76,1
"588",4,63,1
"589",2,39,1
"590",3,28,2
"591",4,66,2
"592",4,45,1
"593",4,69,1
"594",2,59,-1
"595",4,79,1
"596",4,80,2
"597",4,38,1
"598",4,74,1
"599",4,54,-1
"600",4,45,1
"601",4,42,1
"602",2,75,2
"603",4,33,2
"604",3,40,1
"605",6,56,2
"606",4,44,2
"607",4,80,1
"608",4,25,1
"609",4,26,-1
"610",4,75,1
"611",4,68,1
"612",4,27,-1
"613",4,46,1
"614",2,71,-1
"615",4,49,1
"616",1,57,-9
"617",4,80,1
"618",4,66,2
"619",2,43,2
"620",4,55,2
"621",4,64,-1
"622",4,80,1
"623",4,57,1
"624",3,32,1
"625",4,53,2
"626",4,68,2
"627",4,67,1
"628",-6,26,-6
"629",4,50,1
"630",4,33,-1
"631",1,58,2
"632",5,36,1
"633",7,46,-1
"634",4,30,-1
"635",4,78,1
"636",4,70,-1
"637",4,53,2
"638",4,59,1
"639",4,39,2
"640",1,46,1
"641",2,69,-1
"642",4,80,2
"643",4,31,1
"644",4,49,2
"645",4,41,1
"646",6,58,1
"647",4,32,1
"648",4,22,1
"649",4,59,1
"650",4,29,1
"651",4,69,2
"652",4,39,-1
"653",4,39,-1
"654",1,64,-1
"655",4,53,1
"656",2,65,2
"657",2,36,-1
"658",4,76,1
"659",1,59,1
"660",4,51,2
"661",4,49,2
"662",4,29,1
"663",4,29,1
"664",4,47,2
"665",4,64,1
"666",4,66,1
"667",4,35,1
"668",1,80,2
"669",4,59,-1
"670",4,74,2
"671",4,73,1
"672",-6,29,-6
"673",1,80,2
"674",1,-9,2
"675",2,-9,1
"676",4,54,-1
"677",1,-9,2
"678",4,43,-1
"679",-6,80,-6
"680",4,55,1
"681",-6,51,-6
"682",4,46,-1
"683",4,38,2
"684",4,62,1
"685",-6,60,-6
"686",-7,43,-7
"687",6,72,1
"688",-6,80,-6
"689",4,23,-1
"690",2,68,2
"691",4,57,2
"692",1,-9,2
"693",4,52,-1
"694",2,69,2
"695",4,-9,-1
"696",4,39,-1
"697",1,72,-1
"698",4,27,2
"699",4,38,-1
"700",4,49,1
"701",1,-9,2
"702",7,68,2
"703",4,40,1
"704",6,49,-1
"705",4,26,2
"706",4,34,1
"707",4,51,2
"708",4,23,-1
"709",2,80,1
"710",-6,25,-6
"711",2,80,1
"712",4,43,2
"713",4,59,-1
"714",4,49,1
"715",2,32,2
"716",7,69,1
"717",1,80,-1
"718",6,45,-1
"719",1,43,1
"720",4,69,-1
"721",1,80,2
"722",1,55,2
"723",4,75,1
"724",4,60,1
"725",4,75,-1
"726",4,69,2
"727",4,60,2
"728",4,59,1
"729",4,26,1
"730",2,64,1
"731",4,64,-9
"732",4,62,2
"733",4,46,1
"734",2,72,2
"735",2,53,2
"736",6,33,2
